variant,image_auroc,pixel_auroc,dice
Baseline (MSE),0.7894458828080826,0.8810586612344519,0.3279921813864605
Ablation: MSE,0.6472822367050561,0.9013984339302824,0.3907210982908194
Ablation: L1,0.6557468827188049,0.9056962570323596,0.3709949058957141
Ablation: MSE+L1,0.6788288992054281,0.9068578735977764,0.3763822384512039
+ Denoising (Gauss),0.699213363886161,0.9102091686153672,0.4310080654078354
+ Denoising (Spaz),0.6722688450435973,0.9188606174402388,0.444933576189347
+ Denoising + PP,0.6722688450435973,0.9188606174402388,0.4777962407237475
