model,n_slices,n_negative,n_positive,auroc,auroc_ci_low,auroc_ci_high,auroc_n_valid_bootstrap,auroc_n_requested_bootstrap,ap,ap_ci_low,ap_ci_high,ap_n_valid_bootstrap,ap_n_requested_bootstrap
Isolation Forest,2776,828,1948,0.6704448511541627,0.6467012591969071,0.693241318959663,2000,2000,0.7935065616703733,0.7704973611030089,0.8165763573095576,2000,2000
CNN Autoencoder,2776,828,1948,0.7993929113472011,0.7814013162182819,0.8158871207844329,2000,2000,0.9020831088107683,0.889610619377028,0.9134418895649224,2000,2000
PatchCore,2776,828,1948,0.9037223238996518,0.8920526117130685,0.9143330678467597,2000,2000,0.9590415206336234,0.9531059165567536,0.964544122453733,2000,2000
