threshold_method,threshold,Sensitivity,Specificity,Precision,F1,Balanced_Accuracy,TN,FP,FN,TP
native_0,0.0,0.34753593428979707,0.8272946859803467,0.8256097560874925,0.4891618455377884,0.5874153101409596,685,143,1271,677
train_p95,0.02306092978756802,0.22381930184690033,0.8852657004724002,0.8210922787039342,0.35175473644524463,0.5545425011655706,733,95,1512,436
train_p99,0.08155093619652407,0.052361396303632644,0.9589371980560515,0.7499999999448529,0.09788867440285366,0.5056492971857671,794,34,1846,102
